"Count of Vehicles by Make ,Body Type and Colour as at  30th June 2020",,,,
MAKE_DESC,BODY_TYPE_DESC,YEAR_OF_MANUFACTURE,COLOUR_DESC,TOTAL
ALDOM,TRAILER,1997,WHITE,1
ALDOM,TRAILER,1999,BLUE,3
ALDOM,TRAILER,2000,WHITE,1
ALDOM,TRAILER,2003,BLUE,1
ALDOM,TRAILER,2003,SILVER,1
ALDOM,TRAILER,2003,WHITE,1
ALDOM,TRAILER,2004,BLUE,1
ALDOM,TRAILER,2004,SILVER,4
ALDOM,TRAILER,2005,BLUE,2
ALDOM,TRAILER,2005,GREY,1
ALDOM,TRAILER,2005,WHITE,2
ALDOM,TRAILER,2006,SILVER,1
ALDOM,TRAILER,2006,WHITE,2
ALDOM,TRAILER,2007,BLUE,1
ALDOM,TRAILER,2007,SILVER,1
